query,refinement_type,refined_query_text,refined_query,matched_concept,direct_causes,num_direct_causes,multi_hop_paths,num_multi_hop_paths,retrieval_success,rewritten_knowledge,final_response,is_hallucination,latency_seconds,latency_ms,query_throughput_qps,status,is_hallucination_gold
What causes migraines?,Expand Query,"""What are the underlying physiological, genetic, environmental, and lifestyle factors that contribute to the development and occurrence of migraines?""",migraine,migraine,Environmental toxins; Food sensitivities; Hormonal changes; Sleep deprivation; Stress,5,Stress → migraine; Sleep deprivation → migraine; Hormonal changes → migraine; Food sensitivities → migraine; Environmental toxins → migraine,5,Yes,"Migraines are caused by environmental toxins, food sensitivities, hormonal changes, sleep deprivation, and stress.","Migraines are caused by environmental toxins, food sensitivities, hormonal changes, sleep deprivation, and stress.",No,27.1072,27107.2,0.0369,SUCCESS,No
What triggers migraine?,Expand Query,"What are the potential physiological, environmental, or lifestyle factors that trigger migraine episodes in individuals?",migraine,migraine,Environmental toxins; Food sensitivities; Hormonal changes; Sleep deprivation; Stress,5,Stress → migraine; Sleep deprivation → migraine; Hormonal changes → migraine; Food sensitivities → migraine; Environmental toxins → migraine,5,Yes,"Here is the concise, factually grounded explanation that answers the query:

Migraine can be triggered by environmental toxins, food sensitivities, hormonal changes, sleep deprivation, and stress.","Migraine can be triggered by environmental toxins, food sensitivities, hormonal changes, sleep deprivation, and stress.",No,28.4309,28430.92,0.0352,SUCCESS,No
What factors contribute to migraine?,Expand Query,"What are the physiological, genetic, environmental, lifestyle, and psychological factors that contribute to the development and occurrence of migraines?",migraine,migraine,Environmental toxins; Food sensitivities; Hormonal changes; Sleep deprivation; Stress,5,Stress → migraine; Sleep deprivation → migraine; Hormonal changes → migraine; Food sensitivities → migraine; Environmental toxins → migraine,5,Yes,"Migraine is associated with environmental toxins, food sensitivities, hormonal changes, sleep deprivation, and stress.","Migraine is associated with several factors, including environmental toxins, food sensitivities, hormonal changes, sleep deprivation, and stress.",No,25.2986,25298.57,0.0395,SUCCESS,No
What causes asthma?,Expand Query,"What are the underlying physiological, environmental, and genetic factors that contribute to the development and exacerbation of asthma in individuals?",asthma,asthma,Environmental toxins; Genetic predisposition; Respiratory infections; Allergies; Air pollution,5,Air pollution → asthma; Allergies → asthma; Respiratory infections → asthma; Genetic predisposition → asthma; Family history of disease → Genetic predisposition → asthma; Inherited traits from parents → Genetic predisposition → asthma; Environmental factors during pregnancy → Genetic predisposition → asthma; Exposure to certain toxins → Genetic predisposition → asthma; Random chance and natural selection → Genetic predisposition → asthma; Environmental toxins → asthma,10,Yes,"Asthma is caused by genetic predisposition, which can be influenced by family history of disease and inherited traits from parents, as well as exposure to certain toxins during pregnancy. Environmental factors such as air pollution also contribute to asthma, with a direct causal relationship between air pollution and asthma. Additionally, allergies and respiratory infections can trigger asthma in individuals with a predisposition.","Asthma is caused by genetic predisposition, which can be influenced by family history of disease and inherited traits from parents. Environmental factors such as air pollution also contribute to asthma, with a direct causal relationship between air pollution and asthma.",Yes,47.3723,47372.3,0.0211,SUCCESS,Yes
What leads to asthma?,Expand Query,"What are the underlying causes, risk factors, triggers, and contributing elements that lead to the development of asthma in individuals.",asthma,asthma,Environmental toxins; Genetic predisposition; Respiratory infections; Allergies; Air pollution,5,Air pollution → asthma; Allergies → asthma; Respiratory infections → asthma; Genetic predisposition → asthma; Family history of disease → Genetic predisposition → asthma; Inherited traits from parents → Genetic predisposition → asthma; Environmental factors during pregnancy → Genetic predisposition → asthma; Exposure to certain toxins → Genetic predisposition → asthma; Random chance and natural selection → Genetic predisposition → asthma; Environmental toxins → asthma,10,Yes,"Asthma can be caused by genetic predisposition, which is influenced by family history of disease and inherited traits from parents, as well as exposure to certain toxins during pregnancy. Environmental toxins also contribute to asthma development.","Asthma can be caused by genetic predisposition, influenced by family history of disease and inherited traits from parents. Exposure to certain toxins during pregnancy also contributes to asthma development.",No,32.9327,32932.65,0.0304,SUCCESS,No
What factors contribute to asthma?,Expand Query,"What are the underlying physiological, environmental, genetic, and lifestyle factors that contribute to the development and exacerbation of asthma in individuals?",asthma,asthma,Environmental toxins; Genetic predisposition; Respiratory infections; Allergies; Air pollution,5,Air pollution → asthma; Allergies → asthma; Respiratory infections → asthma; Genetic predisposition → asthma; Family history of disease → Genetic predisposition → asthma; Inherited traits from parents → Genetic predisposition → asthma; Environmental factors during pregnancy → Genetic predisposition → asthma; Exposure to certain toxins → Genetic predisposition → asthma; Random chance and natural selection → Genetic predisposition → asthma; Environmental toxins → asthma,10,Yes,"Asthma is caused by genetic predisposition, which can be influenced by family history of disease and inherited traits from parents, as well as exposure to certain toxins during pregnancy. Environmental factors such as air pollution contribute to asthma. Allergies also play a role in the development of asthma. Respiratory infections can trigger asthma symptoms.","Asthma is influenced by genetic predisposition, including family history of disease and inherited traits from parents. Environmental factors such as air pollution also contribute to asthma. Allergies play a role in its development.",No,34.7852,34785.15,0.0287,SUCCESS,No
What causes depression?,Expand Query,"What are the underlying biological, psychological, social, and environmental factors that contribute to the development of depression?",depression,depression,Genetic predisposition; Poor sleep habits; Chronic stress; Traumatic event; Lack of social support,5,Lack of social support → depression; Traumatic event → depression; Chronic stress → depression; Poor sleep habits → depression; Genetic predisposition → depression; Family history of disease → Genetic predisposition → depression; Inherited traits from parents → Genetic predisposition → depression; Environmental factors during pregnancy → Genetic predisposition → depression; Exposure to certain toxins → Genetic predisposition → depression; Random chance and natural selection → Genetic predisposition → depression,10,Yes,"Depression can be caused by genetic predisposition, which is influenced by family history of disease and inherited traits from parents, as well as environmental factors during pregnancy. Additionally, exposure to certain toxins can also contribute to depression through genetic predisposition. Chronic stress, poor sleep habits, and traumatic events are also known to cause depression.","Depression can be caused by genetic predisposition influenced by family history of disease and inherited traits from parents. Additionally, exposure to certain toxins can also contribute to depression through genetic predisposition. Chronic stress, poor sleep habits, and traumatic events are also known causes of depression.",No,36.6583,36658.33,0.0273,SUCCESS,No
What leads to depression?,Expand Query,"What are the underlying biological, psychological, social, and environmental factors that contribute to the development of depression?",depression,depression,Genetic predisposition; Poor sleep habits; Chronic stress; Traumatic event; Lack of social support,5,Lack of social support → depression; Traumatic event → depression; Chronic stress → depression; Poor sleep habits → depression; Genetic predisposition → depression; Family history of disease → Genetic predisposition → depression; Inherited traits from parents → Genetic predisposition → depression; Environmental factors during pregnancy → Genetic predisposition → depression; Exposure to certain toxins → Genetic predisposition → depression; Random chance and natural selection → Genetic predisposition → depression,10,Yes,"Depression can be caused by genetic predisposition, which is influenced by family history of disease and inherited traits from parents, as well as environmental factors during pregnancy. Additionally, exposure to certain toxins can also contribute to depression through genetic predisposition. Chronic stress, poor sleep habits, traumatic events, and lack of social support are all risk factors that can lead to depression.","Depression can be caused by genetic predisposition influenced by family history of disease and inherited traits from parents. Additionally, exposure to certain toxins can contribute to depression through genetic predisposition. Chronic stress, poor sleep habits, traumatic events, and lack of social support are also risk factors that can lead to depression.",No,40.8456,40845.6,0.0245,SUCCESS,No
What factors contribute to depression?,Expand Query,"What biological, psychological, social, and environmental factors contribute to the development and maintenance of depression in individuals?",depression,depression,Genetic predisposition; Poor sleep habits; Chronic stress; Traumatic event; Lack of social support,5,Lack of social support → depression; Traumatic event → depression; Chronic stress → depression; Poor sleep habits → depression; Genetic predisposition → depression; Family history of disease → Genetic predisposition → depression; Inherited traits from parents → Genetic predisposition → depression; Environmental factors during pregnancy → Genetic predisposition → depression; Exposure to certain toxins → Genetic predisposition → depression; Random chance and natural selection → Genetic predisposition → depression,10,Yes,"Depression is associated with genetic predisposition, which can be influenced by family history of disease, inherited traits from parents, and environmental factors during pregnancy. Additionally, depression has been linked to poor sleep habits, chronic stress, traumatic events, and lack of social support.","Depression is associated with genetic predisposition, influenced by family history of disease, inherited traits from parents, and environmental factors during pregnancy. It is also linked to poor sleep habits, chronic stress, traumatic events, and lack of social support.",No,35.5289,35528.89,0.0281,SUCCESS,No
What causes stroke?,Expand Query,"What are the underlying physiological, pathological, or environmental factors that contribute to the occurrence of a stroke?",stroke,stroke,Traumatic brain injury; Blood clots; Atherosclerosis; Diabetes; High blood pressure,5,High blood pressure → stroke; Diabetes → stroke; Genetic predisposition → Diabetes → stroke; Family history of disease → Genetic predisposition → Diabetes → stroke; Inherited traits from parents → Genetic predisposition → Diabetes → stroke; Environmental factors during pregnancy → Genetic predisposition → Diabetes → stroke; Exposure to certain toxins → Genetic predisposition → Diabetes → stroke; Random chance and natural selection → Genetic predisposition → Diabetes → stroke; Family history of diabetes → Diabetes → stroke; Poor diet → Diabetes → stroke; Lack of physical activity → Diabetes → stroke; Insulin resistance → Diabetes → stroke; Atherosclerosis → stroke; Blood clots → stroke; Traumatic brain injury → stroke,15,Yes,"Here is the concise, factually grounded explanation:

High blood pressure causes stroke.
Diabetes causes stroke.
Atherosclerosis causes stroke.
Blood clots cause stroke.
Traumatic brain injury causes stroke.
Family history of disease causes genetic predisposition to diabetes, which in turn causes stroke.
Genetic predisposition causes diabetes, which in turn causes stroke.
Inherited traits from parents cause genetic predisposition, which in turn causes diabetes, which in turn causes stroke.
Environmental factors during pregnancy cause genetic predisposition, which in turn causes diabetes, which in turn causes stroke.
Exposure to certain toxins cause genetic predisposition, which in turn causes diabetes, which in turn causes stroke.
Random chance and natural selection cause genetic predisposition, which in turn causes diabetes, which in turn causes stroke.
Family history of diabetes causes diabetes, which in turn causes stroke.
Poor diet causes diabetes, which in turn causes stroke.
Lack of physical activity causes diabetes, which in turn causes stroke.
Insulin resistance causes diabetes, which in turn causes stroke.","High blood pressure, diabetes, atherosclerosis, blood clots, traumatic brain injury, genetic predisposition, exposure to certain toxins, family history of disease, poor diet, lack of physical activity, and insulin resistance are causes of stroke.",No,51.4139,51413.87,0.0195,SUCCESS,No
What leads to stroke?,Expand Query,"What are the underlying risk factors, causes, symptoms, and potential triggers that contribute to the development of a stroke?",stroke,stroke,Traumatic brain injury; Blood clots; Atherosclerosis; Diabetes; High blood pressure,5,High blood pressure → stroke; Diabetes → stroke; Genetic predisposition → Diabetes → stroke; Family history of disease → Genetic predisposition → Diabetes → stroke; Inherited traits from parents → Genetic predisposition → Diabetes → stroke; Environmental factors during pregnancy → Genetic predisposition → Diabetes → stroke; Exposure to certain toxins → Genetic predisposition → Diabetes → stroke; Random chance and natural selection → Genetic predisposition → Diabetes → stroke; Family history of diabetes → Diabetes → stroke; Poor diet → Diabetes → stroke; Lack of physical activity → Diabetes → stroke; Insulin resistance → Diabetes → stroke; Atherosclerosis → stroke; Blood clots → stroke; Traumatic brain injury → stroke,15,Yes,"Here is the concise, factually grounded explanation:

High blood pressure leads to stroke.
Diabetes leads to stroke.
Atherosclerosis leads to stroke.
Blood clots lead to stroke.
Traumatic brain injury leads to stroke.
Family history of disease leads to genetic predisposition, which leads to diabetes, which leads to stroke.
Inherited traits from parents lead to genetic predisposition, which leads to diabetes, which leads to stroke.
Environmental factors during pregnancy lead to genetic predisposition, which leads to diabetes, which leads to stroke.
Exposure to certain toxins lead to genetic predisposition, which leads to diabetes, which leads to stroke.
Random chance and natural selection lead to genetic predisposition, which leads to diabetes, which leads to stroke.
Family history of diabetes leads to diabetes, which leads to stroke.
Poor diet leads to diabetes, which leads to stroke.
Lack of physical activity leads to diabetes, which leads to stroke.
Insulin resistance leads to diabetes, which leads to stroke.","High blood pressure, diabetes, atherosclerosis, blood clots, traumatic brain injury, family history of disease, inherited traits from parents, environmental factors during pregnancy, exposure to certain toxins, and poor diet are all risk factors that can lead to stroke.",No,49.7727,49772.66,0.0201,SUCCESS,No
What factors contribute to stroke?,Expand Query,"What are the underlying physiological, genetic, environmental, lifestyle, and demographic factors that contribute to the development of stroke in individuals?",stroke,stroke,Traumatic brain injury; Blood clots; Atherosclerosis; Diabetes; High blood pressure,5,High blood pressure → stroke; Diabetes → stroke; Genetic predisposition → Diabetes → stroke; Family history of disease → Genetic predisposition → Diabetes → stroke; Inherited traits from parents → Genetic predisposition → Diabetes → stroke; Environmental factors during pregnancy → Genetic predisposition → Diabetes → stroke; Exposure to certain toxins → Genetic predisposition → Diabetes → stroke; Random chance and natural selection → Genetic predisposition → Diabetes → stroke; Family history of diabetes → Diabetes → stroke; Poor diet → Diabetes → stroke; Lack of physical activity → Diabetes → stroke; Insulin resistance → Diabetes → stroke; Atherosclerosis → stroke; Blood clots → stroke; Traumatic brain injury → stroke,15,Yes,"Here is the concise, factually grounded explanation:

Traumatic brain injury contributes to stroke.
Blood clots contribute to stroke.
Atherosclerosis contributes to stroke.
Diabetes contributes to stroke.
High blood pressure contributes to stroke.
Genetic predisposition contributes to diabetes, which in turn contributes to stroke.
Family history of disease contributes to genetic predisposition, which in turn contributes to diabetes, which in turn contributes to stroke.
Inherited traits from parents contribute to genetic predisposition, which in turn contributes to diabetes, which in turn contributes to stroke.
Environmental factors during pregnancy contribute to genetic predisposition, which in turn contributes to diabetes, which in turn contributes to stroke.
Exposure to certain toxins contributes to genetic predisposition, which in turn contributes to diabetes, which in turn contributes to stroke.
Random chance and natural selection contribute to genetic predisposition, which in turn contributes to diabetes, which in turn contributes to stroke.
Family history of diabetes contributes to diabetes, which in turn contributes to stroke.
Poor diet contributes to diabetes, which in turn contributes to stroke.
Lack of physical activity contributes to diabetes, which in turn contributes to stroke.
Insulin resistance contributes to diabetes, which in turn contributes to stroke.
Atherosclerosis contributes to stroke.
Blood clots contribute to stroke.
Traumatic brain injury contributes to stroke.","Based on the Structured Knowledge, the following factors contribute to stroke:

1. Traumatic brain injury
2. Blood clots
3. Atherosclerosis
4. Diabetes
5. High blood pressure
6. Genetic predisposition (including inherited traits from parents, environmental factors during pregnancy, exposure to certain toxins, and random chance)
7. Family history of disease (including diabetes)

These factors are explicitly supported by the Structured Knowledge and are causal relationships between them and stroke.",Yes,81.6132,81613.2,0.0123,SUCCESS,Yes
